typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","288","GHA","Ghana","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C05","Free zone","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","42026354.928",,"42026354.928","4","false","true",
"C","A","20140101","2014","52","2014","288","GHA","Ghana","X","Export","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C05","Free zone","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2061079681.154","2061079681.154","4","false","true",
"C","A","20140101","2014","52","2014","288","GHA","Ghana","X","Export","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C05","Free zone","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"1460576056.421","1460576056.421","4","false","true",
"C","A","20140101","2014","52","2014","288","GHA","Ghana","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C05","Free zone","0","2100","Sea","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","22965.544",,"22965.544","0","false","true",
"C","A","20140101","2014","52","2014","288","GHA","Ghana","X","Export","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C05","Free zone","0","2100","Sea","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"13436872.713","13436872.713","0","false","true",
"C","A","20140101","2014","52","2014","288","GHA","Ghana","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C05","Free zone","0","3000","Land","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","42003389.384",,"42003389.384","4","false","true",
"C","A","20140101","2014","52","2014","288","GHA","Ghana","X","Export","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C05","Free zone","0","3000","Land","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"537262856.128","537262856.128","4","false","true",
"C","A","20140101","2014","52","2014","288","GHA","Ghana","X","Export","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C05","Free zone","0","3100","Railway","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"49803895.892","49803895.892","0","false","true",
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","M","Import","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","11117787918.995",,"11117787918.995","4","false","true",
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","X","Export","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"12686883814.396","12686883814.396","4","false","true",
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","M","Import","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","651059818.051",,"651059818.051","4","false","true",
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","X","Export","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"833359405.826","833359405.826","4","false","true",
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","M","Import","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","2100","Sea","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","9934723577.793",,"9934723577.793","4","false","true",
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","X","Export","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","2100","Sea","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"10151412335.33","10151412335.33","4","false","true",
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","M","Import","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","3100","Railway","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","264380.071",,"264380.071","0","false","true",
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","X","Export","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","3100","Railway","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"198571226.18","198571226.18","0","false","true",
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","M","Import","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","312289164.725",,"312289164.725","4","false","true",
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","X","Export","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"1322789237.657","1322789237.657","4","false","true",
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","M","Import","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","9200","Postal consignments, mail or courier shipment","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","344860.734",,"344860.734","4","false","true",
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","M","Import","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","9900","Other","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","219106117.621",,"219106117.621","4","false","true",
"C","A","20140101","2014","52","2014","384","CIV","Côte d'Ivoire","X","Export","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","9900","Other","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"180751609.404","180751609.404","0","false","true",
"C","A","20140101","2014","52","2014","562","NER","Niger","M","Import","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2151091965",,"2151091965","0","true","false",
"C","A","20140101","2014","52","2014","562","NER","Niger","X","Export","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1049677035","1049677035","0","true","false",
"C","A","20140101","2014","52","2014","566","NGA","Nigeria","M","Import","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","46532265378",,"46532265378","0","true","false",
"C","A","20140101","2014","52","2014","566","NGA","Nigeria","X","Export","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"102878499711","102878499711","0","true","false",
"C","A","20140101","2014","52","2014","624","GNB","Guinea-Bissau","M","Import","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","135631590.04",,"135631590.04","4","false","true",
"C","A","20140101","2014","52","2014","624","GNB","Guinea-Bissau","X","Export","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"112073837.59","112073837.59","0","false","true",
"C","A","20140101","2014","52","2014","686","SEN","Senegal","M","Import","0","W00","World","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","6502674171",,"6502674171","0","true","false",
